developer,project_name,address,suburb,state,status,anchor_tenants,total_gla,has_pharmacy,source_url,date_scraped,latitude,longitude,nearest_pharmacy_km,in_v2_results,in_growth_corridor,growth_corridor_name,in_psp_area,psp_name,score,score_breakdown
Oreana,"Beveridge Central,Beveridge","Beveridge Central,Beveridge","Beveridge Central,Beveridge",VIC,leasing,"Woolworths,Aldi,Big W",3378.0,unknown,https://oreana.com.au/projects/beveridge-central-beveridge-2/,2026-03-21,-37.474378,144.968825,6.75,False,True,Beveridge,True,Beveridge Central Town Centre,90,"no_pharmacy_5km(+30, dist=6.75km); growth_corridor(+20, Beveridge); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); psp_area(+10, Beveridge Central Town Centre)"
Oreana,"Pound Road,Clyde North","Pound Road,Clyde North","Pound Road,Clyde North",VIC,leasing,"Woolworths,Aldi,Big W",12890.0,unknown,https://oreana.com.au/projects/pound-road-clyde-north/,2026-03-21,-38.118915,145.377082,2.94,False,True,Clyde North - South,True,Thompsons Road Local Centre,85,"no_pharmacy_2km(+15, dist=2.94km); growth_corridor(+20, Clyde North - South); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 12890.0sqm); psp_area(+10, Thompsons Road Local Centre)"
Oreana,"Botanical Village,Mickleham","Botanical Village,Mickleham","Botanical Village,Mickleham",VIC,leasing,"Coles,Woolworths,Aldi,Big W",25000.0,yes,https://oreana.com.au/projects/botanical-village-mickleham/,2026-03-21,-37.544211,144.891889,2.6,False,True,Mickleham - Yuroke,True,Mickleham Major Town Centre,85,"no_pharmacy_2km(+15, dist=2.6km); growth_corridor(+20, Mickleham - Yuroke); anchor_supermarket(+15, Coles,Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 25000.0sqm); psp_area(+10, Mickleham Major Town Centre)"
Oreana,"Eynesbury Village,Eynesbury","Eynesbury Village,Eynesbury","Eynesbury Village,Eynesbury",VIC,leasing,"Coles,Woolworths,Aldi,Big W",22365.0,unknown,https://oreana.com.au/projects/eynesbury-village-eynesbury/,2026-03-21,-37.789487,144.568089,7.51,False,False,,False,,70,"no_pharmacy_5km(+30, dist=7.51km); anchor_supermarket(+15, Coles,Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 22365.0sqm)"
Oreana,"Mt Atkinson,Truganina","Mt Atkinson,Truganina","Mt Atkinson,Truganina",VIC,leasing,"Woolworths,Aldi,Big W",3332.0,unknown,https://oreana.com.au/projects/mt-atkinson-truganina/,2026-03-21,-37.761226,144.693126,2.48,False,True,Rockbank - Mount Cottrell,False,,65,"no_pharmacy_2km(+15, dist=2.48km); growth_corridor(+20, Rockbank - Mount Cottrell); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Redstone,Sunbury","Redstone,Sunbury","Redstone,Sunbury",VIC,leasing,"Woolworths,Aldi,Big W",4130.0,unknown,https://oreana.com.au/projects/redstone-sunbury/,2026-03-21,-37.604864,144.76293,4.03,False,True,Sunbury - South,False,,65,"no_pharmacy_2km(+15, dist=4.03km); growth_corridor(+20, Sunbury - South); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Rathdowne,Wollert","Rathdowne,Wollert","Rathdowne,Wollert",VIC,leasing,"Woolworths,Aldi,Big W",3000.0,unknown,https://oreana.com.au/projects/rathdowne-wollert/,2026-03-21,-37.597259,144.987783,3.15,False,True,Wollert,False,,65,"no_pharmacy_2km(+15, dist=3.15km); growth_corridor(+20, Wollert); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Grand Central,Tarneit","Grand Central,Tarneit","Grand Central,Tarneit",VIC,leasing,"Woolworths,Aldi,Iga,Big W",7902.0,unknown,https://oreana.com.au/projects/grand-central-tarneit/,2026-03-21,-37.839501,144.638312,1.23,False,True,Tarneit (West) - Mount Cottrell,False,,60,"growth_corridor(+20, Tarneit (West) - Mount Cottrell); anchor_supermarket(+15, Woolworths,Aldi,Iga); active_status(+15, leasing); large_gla(+10, 7902.0sqm)"
Oreana,"40 Dorchester St,Thornhill Park","40 Dorchester St,Thornhill Park","40 Dorchester St,Thornhill Park",VIC,leasing,"Woolworths,Aldi,Big W",9739.0,unknown,https://oreana.com.au/projects/40-dorchester-st-thornhill-park/,2026-03-21,-37.712696,144.62733,0.21,False,True,Cobblebank - Strathtulloh,False,,60,"growth_corridor(+20, Cobblebank - Strathtulloh); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 9739.0sqm)"
Oreana,"Alamora,Tarneit","Alamora,Tarneit","Alamora,Tarneit",VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/alamora-tarneit/,2026-03-21,-37.853146,144.635584,1.89,False,True,Tarneit (West) - Mount Cottrell,False,,50,"growth_corridor(+20, Tarneit (West) - Mount Cottrell); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Kallo Town Centre,Kalkallo","Kallo Town Centre,Kalkallo","Kallo Town Centre,Kalkallo",VIC,leasing,"Woolworths,Aldi,Big W",8000.0,unknown,https://oreana.com.au/projects/kallo-town-centre-kalkallo/,2026-03-21,-37.534734,144.961313,0.05,False,False,,True,Donnybrook Town Centre,50,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 8000.0sqm); psp_area(+10, Donnybrook Town Centre)"
Oreana,"13-19 Langport Crescent,Sunbury","13-19 Langport Crescent,Sunbury","13-19 Langport Crescent,Sunbury",VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/13-19-langport-crescent-sunbury/,2026-03-21,-37.562521,144.697258,2.24,False,False,,False,,45,"no_pharmacy_2km(+15, dist=2.24km); anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Manzeene Village,Lara","Manzeene Village,Lara","Manzeene Village,Lara",VIC,leasing,"Woolworths,Aldi,Big W",22000.0,unknown,https://oreana.com.au/projects/manzeene-village-lara/,2026-03-21,,,,False,False,,False,,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 22000.0sqm)"
Oreana,"Maida Vale Village,Maida Vale","Maida Vale Village,Maida Vale","Maida Vale Village,Maida Vale",VIC,leasing,"Woolworths,Aldi,Big W",18100.0,unknown,https://oreana.com.au/projects/maida-vale-village-maida-vale/,2026-03-21,,,,False,False,,False,,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 18100.0sqm)"
Oreana,"Riverwalk Newmarket Road,Werribee","Riverwalk Newmarket Road,Werribee","Riverwalk Newmarket Road,Werribee",VIC,leasing,"Woolworths,Aldi,Big W",30000.0,unknown,https://oreana.com.au/projects/riverwalk-werribee/,2026-03-21,,,,False,False,,False,,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 30000.0sqm)"
Oreana,"Floyd Circuit,Cranbourne","Floyd Circuit,Cranbourne","Floyd Circuit,Cranbourne",VIC,leasing,"Woolworths,Aldi,Big W",2778.0,unknown,https://oreana.com.au/projects/floyd-circuit-townhomes-cranbourne/,2026-03-21,-38.116326,145.256991,1.08,False,False,,True,Casey Fields South Town Centre,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); psp_area(+10, Casey Fields South Town Centre)"
Oreana,"Aurora Estate Harvest Home Road,Epping","Aurora Estate Harvest Home Road,Epping","Aurora Estate Harvest Home Road,Epping",VIC,leasing,"Woolworths,Aldi,Big W",10000.0,unknown,https://oreana.com.au/projects/aurora-estate-epping/,2026-03-21,,,,False,False,,False,,40,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing); large_gla(+10, 10000.0sqm)"
Oreana,"Moorabool Estate,Batesford","Moorabool Estate,Batesford","Moorabool Estate,Batesford",VIC,leasing,"Woolworths,Aldi,Big W",2500.0,unknown,https://oreana.com.au/projects/moorabool-estate-batesford/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,Early Education,Early Education,Early Education,VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/the-hemmingway-2/,2026-03-21,-38.148916,145.289446,0.07,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Toorak Rd,South Yarra","Toorak Rd,South Yarra","Toorak Rd,South Yarra",VIC,leasing,"Woolworths,Aldi,Big W",2400.0,unknown,https://oreana.com.au/projects/toorak-rd-south-yarra/,2026-03-21,-37.837927,144.983249,0.42,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"Deanside Central,Sinclairs Road","Deanside Central,Sinclairs Road","Deanside Central,Sinclairs Road",VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/deanside-central-pumpton/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"The Gateway,Cranbourne North","The Gateway,Cranbourne North","The Gateway,Cranbourne North",VIC,leasing,"Woolworths,Aldi,Big W",3010.0,unknown,https://oreana.com.au/projects/william-thwaites-business-park-cranbourne-north/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
Oreana,"North Shore,Townsville","North Shore,Townsville","North Shore,Townsville",VIC,leasing,"Woolworths,Aldi,Big W",,unknown,https://oreana.com.au/projects/north-shore-townsville/,2026-03-21,,,,False,False,,False,,30,"anchor_supermarket(+15, Woolworths,Aldi); active_status(+15, leasing)"
